tip_lable,taxa_name
HM204913,Triphyophyllum peltatum HM204913
JF977171,Nyssa sylvatica JF977171
JQ280761,Nyssa wenshanensis JQ280761
JQ280777,Nyssa javanica JQ280777
SAJIT3437,Hydrostachys multifida SAJIT3437
SAJIT3442,Hydrostachys longifida SAJIT3442
SAJIT3446,Hydrostachys stolonifera SAJIT3446
SAJIT3453,Hydrostachys multifida SAJIT3453
SAJIT3462,Hydrostachys flabellifera SAJIT3462
SAJIT3473,Hydrostachys imbricata SAJIT3473
SAJIT3484,Hydrostachys multifida SAJIT3484
SAJIT3490,Hydrostachys distichophylla var. hildebrandtii SAJIT3490
SAJIT3498,Hydrostachys multifida SAJIT3498
